"niveaux";"trimestres";"label";"date";"first_date";"Etat";"Part des articles"
"CE2";"1er trimestre";"CE2 - 1er trimestre";2015-09-01;2011-09-01;"Conservé";0,440283400809717
"CE2";"1er trimestre";"CE2 - 1er trimestre";2015-09-01;2011-09-01;"Modifié";0,189676113360324
"CE2";"1er trimestre";"CE2 - 1er trimestre";2015-09-01;2011-09-01;"Supprimé";0,0425101214574899
"CE2";"1er trimestre";"CE2 - 1er trimestre";2015-09-01;2011-09-01;"Ajouté";0,32753036437247
"CE2";"2ème trimestre";"CE2 - 2ème trimestre";2015-12-01;2011-09-01;"Conservé";0,438143289606458
"CE2";"2ème trimestre";"CE2 - 2ème trimestre";2015-12-01;2011-09-01;"Modifié";0,189101917255298
"CE2";"2ème trimestre";"CE2 - 2ème trimestre";2015-12-01;2011-09-01;"Supprimé";0,0433905146316852
"CE2";"2ème trimestre";"CE2 - 2ème trimestre";2015-12-01;2011-09-01;"Ajouté";0,329364278506559
"CE2";"3ème trimestre";"CE2 - 3ème trimestre";2016-03-01;2011-09-01;"Conservé";0,431273898168646
"CE2";"3ème trimestre";"CE2 - 3ème trimestre";2016-03-01;2011-09-01;"Modifié";0,193600321996378
"CE2";"3ème trimestre";"CE2 - 3ème trimestre";2016-03-01;2011-09-01;"Supprimé";0,0577581002213725
"CE2";"3ème trimestre";"CE2 - 3ème trimestre";2016-03-01;2011-09-01;"Ajouté";0,317367679613604
"CE2";"grandes vacances";"CE2 - grandes vacances";2016-06-01;2011-09-01;"Conservé";0,429921576513171
"CE2";"grandes vacances";"CE2 - grandes vacances";2016-06-01;2011-09-01;"Modifié";0,194651116026543
"CE2";"grandes vacances";"CE2 - grandes vacances";2016-06-01;2011-09-01;"Supprimé";0,0575105570078423
"CE2";"grandes vacances";"CE2 - grandes vacances";2016-06-01;2011-09-01;"Ajouté";0,317916750452443
"CM1";"1er trimestre";"CM1 - 1er trimestre";2016-09-01;2011-09-01;"Conservé";0,412177047867014
"CM1";"1er trimestre";"CM1 - 1er trimestre";2016-09-01;2011-09-01;"Modifié";0,205487682755858
"CM1";"1er trimestre";"CM1 - 1er trimestre";2016-09-01;2011-09-01;"Supprimé";0,0640897256158622
"CM1";"1er trimestre";"CM1 - 1er trimestre";2016-09-01;2011-09-01;"Ajouté";0,318245543761266
